model	wid_multi	trainsize	test_acc	train_acc	train_loss	ctParams	GPUs	epochs	train_time	test_time	time	data	run_lbl	lr	maxEpochs	bma_test_acc	bma_test_ll	cmll	mll
LeNet	1	250	24.49	32.4	1.8303990364074707	62006	1	29	0.11193946997324626	0.015062936147054036	09/30 11:30	CIFAR10	runlbl	0.1	30	24.490000000000002	-2.02076656662114	-104.61060806701103	-496.07240625
ResNet18	1	250	23.38	35.2	1.7261806726455688	11173962	1	29	0.16893335183461508	0.03914617697397868	09/30 11:40	CIFAR10	runlbl	0.1	30	23.380000000000003	-2.112346006380842	-101.81220718810478	-12863.156
VGG19	1	250	10.67	13.6	2.3227282762527466	20040522	1	29	0.12342105706532797	0.019553101062774657	09/30 11:49	CIFAR10	runlbl	0.1	30	10.67	-2.4696187714024447	-114.08338638732353	-5723.2225
GoogLeNet	1	250	31.53	80.4	0.7625561952590942	6166250	1	29	0.8387519121170044	0.26662707328796387	09/30 12:21	CIFAR10	runlbl	0.1	30	31.53	-2.2231213906265563	-97.67162033507744	-28817.838
LeNet	1	250	26.08	52.4	1.302017092704773	62006	1	99	0.39636560281117755	0.021040085951487222	10/02 11:31	CIFAR10	runlbl	0.1	100	26.07	-2.3590487679720855	-97.56640335509697	-254.814328125
ResNet18	1	250	27.84	80.8	0.6149366140365601	11173962	1	99	0.4829819162686666	0.02516560951868693	10/02 11:37	CIFAR10	runlbl	0.1	100	27.83	-2.7772934122697275	-91.02090927550712	-15512.148
VGG19	1	250	10.37	13.6	2.2707722187042236	20040522	1	99	0.6567521373430888	0.0856082002321879	10/02 11:42	CIFAR10	runlbl	0.1	100	10.36	-2.3139606725513935	-115.58765884826103	-105.6442109375
LeNet	1	500	27.44	34.0	1.6940920114517213	62006	1	99	0.5951923569043477	0.0314557154973348	10/02 12:04	CIFAR10	runlbl	0.1	100	27.43	-2.0272846109617966	-210.7864122051946	-117.1958984375
GoogLeNet	1	250	33.05	98.4	0.21704946756362914	6166250	1	99	2.8869057456652323	0.3106198867162069	10/02 12:06	CIFAR10	runlbl	0.1	100	33.01	-3.2356231906906063	-154.25745102355398	-11765.176
ResNet18	1	500	36.21	62.2	1.0402709662914276	11173962	1	99	0.7031206528345744	0.033447519938151045	10/02 12:09	CIFAR10	runlbl	0.1	100	36.230000000000004	-2.0816311468716013	-272.90216537902273	-12683.567
LeNet	1	1000	25.92	32.1	1.7974680006504058	62006	1	99	0.7563166975975036	0.032563583056132	10/02 12:24	CIFAR10	runlbl	0.1	100	25.95	-1.912125841912348	-379.19366928527273	-61.83693359375
VGG19	1	500	15.24	17.0	2.112604022026062	20040522	1	99	1.459436023235321	0.07217036485671997	10/02 12:26	CIFAR10	runlbl	0.1	100	15.24	-2.1948423693090677	-233.53069015929617	-778.3105
GoogLeNet	1	250	32.47	97.6	0.09964107275009156	6166250	1	99	2.8338020046552024	0.33436270157496134	10/02 12:46	CIFAR10	runlbl	0.1	100	32.45	-3.6699759531426186	-184.87176987121023	-9387.512
LeNet	1	2000	20.62	22.0	2.0199679762125013	62006	1	99	1.0079087018966675	0.028676176071166994	10/02 12:47	CIFAR10	runlbl	0.1	100	20.62	-2.0610253944359718	-921.9981126446478	-14.3432041015625
ResNet18	1	1000	44.3	84.9	0.613587298989296	11173962	1	99	1.376824645201365	0.04231973886489868	10/02 12:47	CIFAR10	runlbl	0.1	100	44.3	-1.93504229498044	-474.37311264464773	-12501.232
ResNet18	1	2000	59.96	97.95	0.18013263680040836	11173962	1	99	2.6199774305025736	0.032131044069925944	10/02 13:04	CIFAR10	runlbl	0.1	100	57.34	-1.493253060997621	-597.188603367304	-6793.689
VGG19	1	1000	27.73	30.8	1.8117309987545014	20040522	1	99	5.138048585255941	0.15809278090794882	10/02 13:08	CIFAR10	runlbl	0.1	100	27.68	-1.8866911329478024	-460.19968124816336	-3308.70825
GoogLeNet	1	2000	61.09	97.75	0.1701555283740163	6166250	1	99	13.923946777979532	0.23249571720759074	10/02 14:17	CIFAR10	runlbl	0.1	100	61.11	-1.5066205786838895	-537.9269456524603	-3998.62275
VGG19	1	2000	46.64	65.75	0.9656152606010437	20040522	1	99	7.7726655085881555	0.11148213545481364	10/02 14:18	CIFAR10	runlbl	0.1	100	46.64	-1.5802974437939004	-679.4474534649603	-9094.642
LeNet	1	5000	33.51	33.62	1.7300597831800386	62006	1	69	1.0244090239206949	0.019797245661417644	10/02 14:41	CIFAR10	runlbl	0.1	70	33.51	-1.7466719981886447	-1760.5427293438665	-16.0593
ResNet18	1	5000	72.19	95.46	0.20163063288896116	11173962	1	69	7.622552744547526	0.046746877829233806	10/02 14:52	CIFAR10	runlbl	0.1	70	72.17	-0.9564925081802473	-1141.3798875469915	-4279.3068
GoogLeNet	1	500	40.6	99.4	0.0949477918446064	6166250	1	99	8.349711179733276	0.528836747010549	10/02 14:56	CIFAR10	runlbl	0.1	100	40.61	-2.9942411912411275	-292.2234239239446	-7518.906
GoogLeNet	1	1000	54.7	99.7	0.05546192061156034	6166250	1	99	17.611916406949362	0.33545611302057904	10/02 15:10	CIFAR10	runlbl	0.1	100	54.7	-2.1554459812176123	-519.1933641094915	-2849.658
VGG19	1	5000	63.56	74.98	0.7799227462186442	20040522	1	69	4.279190210501353	0.028840514024098714	10/02 16:33	CIFAR10	runlbl	0.1	70	63.54	-1.080814537484845	-1310.0590867657415	-4592.9908
GoogLeNet	1	5000	75.51	99.64	0.06308726709964987	6166250	1	69	35.610800679524736	0.24950920343399047	10/02 17:37	CIFAR10	runlbl	0.1	70	75.52	-0.9568388439258444	-938.8347215313665	-1671.816
