model	wid_multi	trainsize	glb_test_acc	glb_train_acc	glb_test_stdev	ctParams	GPUs	time	data	run_lbl	good_runs	lr	avg_bma_test_acc	avg_bma_test_ll	avg_cmll	avg_mll
LeNet	1	250	0	0	-1	62006	1	09/30 11:30	CIFAR10	runlbl	0	0.1	24.490000000000002	-2.02076656662114	-104.61060806701103	-496.07240625
ResNet18	1	250	0	0	-1	11173962	1	09/30 11:40	CIFAR10	runlbl	0	0.1	23.380000000000003	-2.112346006380842	-101.81220718810478	-12863.156
VGG19	1	250	0	0	-1	20040522	1	09/30 11:49	CIFAR10	runlbl	0	0.1	10.67	-2.4696187714024447	-114.08338638732353	-5723.2225
GoogLeNet	1	250	0	0	-1	6166250	1	09/30 12:21	CIFAR10	runlbl	0	0.1	31.53	-2.2231213906265563	-97.67162033507744	-28817.838
LeNet	1	250	0	0	-1	62006	1	10/02 11:31	CIFAR10	runlbl	0	0.1	26.07	-2.3590487679720855	-97.56640335509697	-254.814328125
ResNet18	1	250	0	0	-1	11173962	1	10/02 11:37	CIFAR10	runlbl	0	0.1	27.83	-2.7772934122697275	-91.02090927550712	-15512.148
VGG19	1	250	0	0	-1	20040522	1	10/02 11:42	CIFAR10	runlbl	0	0.1	10.36	-2.3139606725513935	-115.58765884826103	-105.6442109375
LeNet	1	500	0	0	-1	62006	1	10/02 12:04	CIFAR10	runlbl	0	0.1	27.43	-2.0272846109617966	-210.7864122051946	-117.1958984375
GoogLeNet	1	250	0	0	-1	6166250	1	10/02 12:06	CIFAR10	runlbl	0	0.1	33.01	-3.2356231906906063	-154.25745102355398	-11765.176
ResNet18	1	500	0	0	-1	11173962	1	10/02 12:09	CIFAR10	runlbl	0	0.1	36.230000000000004	-2.0816311468716013	-272.90216537902273	-12683.567
LeNet	1	1000	0	0	-1	62006	1	10/02 12:24	CIFAR10	runlbl	0	0.1	25.95	-1.912125841912348	-379.19366928527273	-61.83693359375
VGG19	1	500	0	0	-1	20040522	1	10/02 12:26	CIFAR10	runlbl	0	0.1	15.24	-2.1948423693090677	-233.53069015929617	-778.3105
GoogLeNet	1	250	0	0	-1	6166250	1	10/02 12:46	CIFAR10	runlbl	0	0.1	32.45	-3.6699759531426186	-184.87176987121023	-9387.512
LeNet	1	2000	0	0	-1	62006	1	10/02 12:47	CIFAR10	runlbl	0	0.1	20.62	-2.0610253944359718	-921.9981126446478	-14.3432041015625
ResNet18	1	1000	0	0	-1	11173962	1	10/02 12:47	CIFAR10	runlbl	0	0.1	44.3	-1.93504229498044	-474.37311264464773	-12501.232
ResNet18	1	2000	0	0	-1	11173962	1	10/02 13:04	CIFAR10	runlbl	0	0.1	57.34	-1.493253060997621	-597.188603367304	-6793.689
VGG19	1	1000	0	0	-1	20040522	1	10/02 13:08	CIFAR10	runlbl	0	0.1	27.68	-1.8866911329478024	-460.19968124816336	-3308.70825
GoogLeNet	1	2000	0	0	-1	6166250	1	10/02 14:17	CIFAR10	runlbl	0	0.1	61.11	-1.5066205786838895	-537.9269456524603	-3998.62275
VGG19	1	2000	0	0	-1	20040522	1	10/02 14:18	CIFAR10	runlbl	0	0.1	46.64	-1.5802974437939004	-679.4474534649603	-9094.642
LeNet	1	5000	0	0	-1	62006	1	10/02 14:41	CIFAR10	runlbl	0	0.1	33.51	-1.7466719981886447	-1760.5427293438665	-16.0593
ResNet18	1	5000	0	0	-1	11173962	1	10/02 14:52	CIFAR10	runlbl	0	0.1	72.17	-0.9564925081802473	-1141.3798875469915	-4279.3068
GoogLeNet	1	500	40.6	99.4	0.0	6166250	1	10/02 14:56	CIFAR10	runlbl	1	0.1	40.61	-2.9942411912411275	-292.2234239239446	-7518.906
GoogLeNet	1	1000	54.7	99.7	0.0	6166250	1	10/02 15:10	CIFAR10	runlbl	1	0.1	54.7	-2.1554459812176123	-519.1933641094915	-2849.658
VGG19	1	5000	0	0	-1	20040522	1	10/02 16:33	CIFAR10	runlbl	0	0.1	63.54	-1.080814537484845	-1310.0590867657415	-4592.9908
GoogLeNet	1	5000	75.51	99.64	0.0	6166250	1	10/02 17:37	CIFAR10	runlbl	1	0.1	75.52	-0.9568388439258444	-938.8347215313665	-1671.816
